id,date,text,views,forwards,media,link
515,2026-06-25T10:13:58+00:00,"**Модернизация инфраструктуры**

Пока все обсуждают новые школы, дороги и жилые комплексы - старые трубы, кабели и теплотрассы продолжают работать где-то под землей. Их не видно каждый день, поэтому кажется, что с ними все в порядке. До первого прорыва. Вдруг зимой пропадает отопление, перекрывают улицу, отключают воду, а ремонт оказывается срочным и очень дорогим. Хотя сама труба честно служила десятки лет.

Самая частая ошибка - думать, что инфраструктура стареет только тогда, когда ломается. На самом деле процесс начинается гораздо раньше. Каждый год без ремонта увеличивает риск аварии и делает восстановление дороже. 

В итоге деньги приходится тратить уже не на развитие, а на устранение последствий. И платить за это приходится всем: через тарифы, бюджет или неудобства, когда привычные услуги внезапно перестают работать.

Именно так работает износ и требуется модернизация инфраструктуры

**Вот где здесь экономика.

**😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",158,2,,https://t.me/Economic_basics/515
514,2026-06-23T05:21:03+00:00,"**Размышления о промышленной политике

**Мы много говорим о новых заводах. Но гораздо реже задаем себе более важный вопрос: **сколько денег остается в стране после того, как завод построен?**

Промышленная политика измеряется не количеством открытых предприятий и не объемом инвестиций. Ее настоящий результат - это созданная внутри страны добавленная стоимость, новые компетенции, технологии и производственные цепочки.

Построить завод можно за несколько лет. Построить промышленную экономику - задача на десятилетия.

В новой авторской колонке на [EconomyKZ.org](http://EconomyKZ.org/) делюсь своими размышлениями о том, что на самом деле определяет успех промышленной политики и почему этот вопрос становится все более важным для Казахстана.

**Расширяем горизонты и продолжаем разговор о будущем экономики.**
__
__https://economykz.org/?p=26835

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",11026,7,,https://t.me/Economic_basics/514
513,2026-06-22T15:20:05+00:00,"**Если поднять зарплаты - все станут богаче**

Есть одна идея, которая никак не хочет умирать. Цены растут, денег не хватает, и обязательно появляется простое решение: **давайте просто поднимем всем зарплаты. **Желательно сразу и существенно. Логика выглядит безупречно. Если человек получал 300 тысяч тенге, а завтра будет получать 500 тысяч, значит он стал богаче. Что тут вообще обсуждать?

**Миф: **“Государство должно обязать бизнес платить больше. Тогда люди будут жить лучше”.

Звучит разумно. Даже слишком разумно. Если не считать детали, идея вообще выглядит идеальной. Проблема лишь в том, что экономика плохо реагирует на слово “просто”.

❗️Если бы богатство создавалось повышением зарплат, самые богатые страны мира давно соревновались бы в размерах приказов. Один указ на миллион тенге. Другой на два миллиона. Третий сразу на пять. На бумаге такая стратегия выглядела бы великолепно. Бумага обычно не возражает.

На практике **зарплата сама по себе не создает богатство. **Она распределяет уже созданную стоимость. Когда бизнесу говорят платить больше, деньги должны откуда-то появиться. Обычно вариантов немного: поднять цены, сократить расходы, отказаться от части инвестиций или уменьшить число сотрудников. Рынок, к сожалению, не знает, что ему запретили реагировать на новые издержки.

Люди действительно начинают получать больше денег. Но через некоторое время выясняется, что продукты, аренда жилья, услуги и многие другие вещи тоже решили подорожать. В результате на бумаге доход вырос, а в магазине ощущение богатства почему-то оказывается гораздо скромнее.

Конечно, зарплаты должны расти. Но устойчивый рост зарплат обычно появляется не тогда, когда кто-то переписывает цифры в платежной ведомости, а тогда, когда работники производят больше, компании становятся эффективнее, а экономика создает больше товаров и услуг. Сначала появляется новая ценность. Потом появляются деньги. Попытки поменять этот порядок местами история наблюдала много раз. Результат обычно оказывается менее впечатляющим, чем обещания в начале.

__Нельзя сделать общество богаче, просто изменив цифру в платежной ведомости.__

Высокие зарплаты делают людей богаче только тогда, когда за ними стоит высокая производительность. Во всех остальных случаях быстрее растут цифры, а не благосостояние.

**Экономика не обязана соответствовать нашим убеждениям. Тем хуже для убеждений.**

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",271,5,,https://t.me/Economic_basics/513
512,2026-06-22T09:39:44+00:00,"**Высокая производительность**

В офисе есть два сотрудника. Один весь день на виду: совещания, звонки, переписки, срочные задачи, еще более срочные задачи. Вечером устал так, будто разгружал вагоны. Второй спокойно закрывает ноутбук в шесть. Без героизма. Без фраз про завал. Но за месяц именно его проекты запускаются быстрее, ошибок меньше, а клиенты возвращаются чаще.

Обычно люди смотрят на занятость и делают выводы. Если человек постоянно чем-то занят, значит работает лучше остальных. Поэтому компании начинают измерять количество часов, встреч и отчетов. В итоге сотрудники учатся выглядеть занятыми вместо того, чтобы создавать результат. Работы становится больше, пользы меньше. А потом **все удивляются, почемун штат вырос, расходы выросли, а бизнес стоит на месте. Потому что энергия ушла в процесс, а не в результат.**

Именно так работает высокая производительность.

**Вот где здесь экономика.**

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",263,2,,https://t.me/Economic_basics/512
511,2026-06-20T12:22:58+00:00,"**Пенсионные изъятия помогли купить квартиру. Но почему их теперь ограничивают?**

Когда разрешили использовать пенсионные накопления на жилье, многие восприняли это как восстановление справедливости.

Логика понятна - это мои деньги. Почему я не могу использовать их на квартиру сегодня, вместо того чтобы ждать пенсии через 20 или 30 лет?

**Ожидание. **Если человек может направить свои пенсионные накопления на покупку квартиры, он только выигрывает.

Тем более что многие граждане относятся к недвижимости с большим доверием, чем к пенсионной системе. Квартиру можно сдавать, продать или передать детям. А доверие к пенсионным накоплениям за последние годы неоднократно испытывалось на прочность различными скандалами и спорами вокруг эффективности управления средствами.

Поэтому для многих выбор выглядел очевидным: лучше квадратные метры сегодня, чем неизвестные выплаты через несколько десятилетий.

**Реальность. **Парадокс заключается в том, что пенсионные изъятия одновременно решили одну проблему и создали несколько новых.

Первое последствие оказалось на рынке жилья. Когда на рынок пришли сотни миллиардов тенге дополнительных денег, количество покупателей резко выросло. Но количество квартир не увеличилось так быстро. В результате **часть поддержки ушла в рост цен.**

Второе последствие связано уже с будущими пенсиями. Для поколения, которому сегодня около 40-45 лет и меньше, государственная пенсия будет играть все меньшую роль. Основным источником дохода в старости постепенно становятся собственные накопления.

Именно здесь возникает самый неудобный вопрос: что лучше: квартира сегодня или пенсионный доход завтра?

Многие отвечают: квартира. Ведь ее можно сдавать в аренду или продать. И это действительно сильный аргумент.

Но проблема в том, что **недвижимость не всегда превращается в регулярный доход автоматически**. Квартиру нужно содержать, ремонтировать, искать арендаторов или принимать решение о продаже. Кроме того, далеко не каждый пенсионер захочет расставаться со своим единственным жильем ради текущих расходов.

Самое интересное, что даже относительно крупные пенсионные накопления не гарантируют высокого дохода после выхода на пенсию.
Например, если к пенсионному возрасту на счете останется около 10 миллионов тенге, ежемесячные выплаты из накопительной системы могут составлять лишь порядка 50-60 тысяч тенге в месяц. Вместе с базовой пенсией общий доход окажется примерно на уровне 90-114 тысяч тенге.

Многие сразу задают вопрос: почему так мало, если депозит на 10 миллионов тенге сегодня способен приносить около 100 тысяч тенге ежемесячно?

Дело в том, что пенсионная система устроена иначе, чем банковский депозит.

Депозит выплачивает текущий процент при сегодняшних высоких ставках. **Пенсионные выплаты рассчитываются таким образом, чтобы средства распределялись на многие годы после выхода человека на пенсию**. 

Многие граждане считают, что если бы доходность накоплений долгие годы стабильно опережала инфляцию и была сопоставима с лучшими депозитными инструментами, желание использовать деньги раньше возникало бы значительно реже.

Именно здесь большинство делает неправильный вывод.

Спор вокруг пенсионных изъятий - это не спор между правильным и неправильным решением. **Это выбор между двумя разными целями. 
▪️**Либо использовать накопления для повышения качества жизни сегодня.
▪️Либо сохранить больше средств для обеспечения дохода в старости.

Государство, повышая пороги достаточности, фактически делает ставку на второй вариант.

**Главный парадокс пенсионных изъятий заключается в том, что деньги, которые помогли купить квартиру сегодня, одновременно являются деньгами, которые должны были обеспечивать человека через 20-30 лет.

Экономическая дилемма состоит не в том, что выбрать правильно, а в том, чем именно придется пожертвовать.**

Самые устойчивые экономические мифы рождаются тогда, когда мы видим результат, но не замечаем механизм. Экономика редко работает так, как кажется на первый взгляд.

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",327,6,,https://t.me/Economic_basics/511
510,2026-06-17T17:12:50+00:00,"**Дефляция**

Летом на рынке всегда одна и та же история. Еще месяц назад черешня стоила как небольшой подарок самому себе, а в июле продавец уже уговаривает взять сразу два килограмма. Арбузы дешевеют каждую неделю. Огурцы, помидоры, зелень тоже. Многие смотрят на ценники и радуются: наконец-то цены пошли вниз, жить становится легче.

Проблема в том, что **люди часто принимают сезонное удешевление отдельных товаров за общую картину** в экономике. Кажется, будто все вокруг дешевеет. Но **через пару месяцев заканчивается урожай, и цены возвращаются обратно**. При этом аренда, связь, услуги, лекарства или коммунальные платежи могут вообще не снижаться. Из-за такой путаницы легко сделать вывод, что инфляция исчезла, хотя в кошельке это почти не ощущается.

Именно так работает дефляция.

**Вот где здесь экономика.

**😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",394,2,,https://t.me/Economic_basics/510
509,2026-06-17T07:06:05+00:00,"**Почему квартира не всегда лучше пенсии**

Много вопросов по ужесточению критериев снятия пенсионных взносов. Обоснование понятное - купить жилье или на иные направления сейчас направить.

Решил набросать свое пояснение простым и понятным языком.

Представьте ситуацию - человеку 35 или 40 лет. На пенсионном счете накопилась приличная сумма. Появляется возможность использовать часть этих денег на покупку жилья.

Решение кажется очевидным.
Квартира останется детям, ее можно сдавать в аренду, а цены на недвижимость, как многие считают, всегда растут.

Поэтому новость об изменении порогов достаточности пенсионных накоплений многие восприняли болезненно. Людям фактически говорят: часть денег из ЕНПФ забрать уже не получится.

Выглядит как ограничение. Но если посмотреть глубже, речь идет совсем о другом.

Для большинства **нынешних** **пенсионеров** главным источником дохода остается солидарная пенсия за стаж работы до 1998 года. Именно она помогает поддерживать уровень жизни после выхода на пенсию.

Но этот ресурс постепенно исчезает. Даже среди тех, кто выходит на пенсию сегодня, все меньше людей имеют полный стаж, необходимый для получения максимальной солидарной пенсии.

1️⃣ **Для поколения, которому сейчас 40-45 лет и меньше**, ситуация будет жестче. 
Их будущая пенсия будет зависеть в основном от двух вещей: базовой пенсии от государства и собственных накоплений.

Поэтому каждый тенге на пенсионном счете становится намного важнее, чем раньше.

**Теперь представим человека, который использовал значительную часть накоплений на покупку жилья и к пенсии сохранил на счете только 10 млн тенге.**

Вроде большая сумма. Но по действующим правилам она даст около 54 тысяч тенге выплат из ЕНПФ в месяц.

Вместе с базовой пенсией **общий доход составит примерно от 90 до 114 тысяч тенге. **Думаю для многих это окажется значительно ниже привычного уровня жизни.

2️⃣ Международная практика исходит из того, что после выхода на пенсию человеку желательно сохранить доход хотя бы на уровне 30-40% прежней зарплаты.

Если человек получал **300 тысяч тенге в месяц**, то комфортный пенсионный доход должен составлять **примерно 90-120 тысяч тенге.**

Получается, что даже 10 млн тенге накоплений не создают большого запаса прочности.

3️⃣ Но есть еще одна причина, почему государство стало осторожнее относиться к изъятиям - многие воспринимают пенсионный счет как обычную копилку. На самом деле **это инвестиционный капитал, который работает десятилетиями**.

Эксперты отмечают, что за долгий трудовой путь до 60-70% всех пенсионных накоплений может формироваться именно за счет инвестиционного дохода.

**Другими словами, снимая миллион тенге сегодня, человек теряет не только этот миллион. Он теряет еще и весь будущий доход, который эти деньги могли принести за следующие 20-30 лет.**

4️⃣ Отсюда возникает главный вопрос - **действительно ли квартира всегда оказывается более выгодным вложением?**

История показывает, что цены на жилье могут не только расти. Недвижимость требует ремонта, расходов на содержание и иногда годами не дорожает. Казахстан уже проходил периоды серьезного охлаждения рынка жилья.

Поэтому квартира остается важным активом для жизни семьи. Но она **не всегда способна заменить стабильный ежемесячный доход после выхода на пенсию**. Именно поэтому новые пороги достаточности выглядят скорее как защита будущих доходов, чем как запрет.

Логика проста: государство пытается снизить риск того, что через 20-30 лет миллионы людей окажутся на пенсии с собственной квартирой, но с очень небольшими ежемесячными выплатами.

❗️**Что это значит для вашего кошелька?**
Когда вы снимаете деньги из ЕНПФ, вы теряете не только эту сумму, но и десятки лет будущего инвестиционного дохода. **Поэтому выбор между пенсионными накоплениями и жильем - это выбор между уровнем жизни сейчас и уровнем жизни после выхода на пенсию.**

Пенсионный счет - это не копилка. Это источник будущего дохода, который вы будете получать тогда, когда работать уже станет гораздо сложнее.
__
__😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",12297,16,,https://t.me/Economic_basics/509
508,2026-06-17T03:24:29+00:00,,342,0,,https://t.me/Economic_basics/508
507,2026-06-17T03:22:33+00:00,"**Ловушка маркетплейсов: «посмотрю одним глазом»**

Вы заходите на маркетплейс за одной вещью. Например, нужен новая зарядка для телефона за 2 000 тенге.

Пара минут поиска, и алгоритм уже предлагает чехол со скидкой, удобную подставку, беспроводную зарядку и набор салфеток для экрана. Все выглядит полезным. Все вроде бы недорого.

Через двадцать минут в корзине уже товаров на 18 000 тенге. Самое интересное, что большинство этих покупок не были нужны до того момента, как вы их увидели.

Маркетплейсы устроены так, чтобы превращать поиск в прогулку по бесконечному торговому центру. Пока вы выбираете одну вещь, система показывает десятки других товаров, которые могут понравиться именно вам.

Человек начинает рассуждать: «Раз уж заказываю, можно добавить еще это». Потом еще одно. И еще.

Ошибка скрыта в том, что каждое решение рассматривается отдельно. Доплатить 1 500 тенге кажется мелочью. Еще 2 000 тенге - тоже немного. Но в сумме корзина растет незаметно.

Психологически мы уже приняли решение потратить деньги, поэтому каждая следующая покупка воспринимается легче предыдущей.

**Что это значит для вашего кошелька? **Если такая история происходит хотя бы два раза в месяц, лишние траты могут легко превысить 100-150 тысяч тенге в год. Причем на вещи, о которых через несколько недель многие даже не вспомнят.

__Главная победа маркетплейса происходит не тогда, когда вы покупаете то, что искали. А тогда, когда покупаете то, за чем вообще не приходили.__

Чем дольше вы смотрите товары, тем выше вероятность, что покупать начнет не разум, а любопытство.

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",325,7,,https://t.me/Economic_basics/507
506,2026-06-16T04:00:47+00:00,"**Временные предпочтения**

Знакомая история для многих. Человек получает премию и сразу покупает новый телефон. Хотя старый работает отлично. Или берет рассрочку на отпуск, потому что отдыхать хочется сейчас, а платить можно потом. 

С пенсией происходит то же самое. Многие готовы потратить деньги сегодня ради ощутимой выгоды прямо сейчас, даже если через десять или двадцать лет эти средства могли бы дать гораздо больший результат.

Проблема обычно начинается в тот момент, когда будущее кажется слишком далеким и почти нереальным. Дополнительные 100 тысяч тенге сегодня воспринимаются намного ценнее, чем несколько миллионов через много лет. 

Из-за этого люди откладывают сбережения, редко инвестируют на длинный срок и легко жертвуют будущим доходом ради текущего комфорта. А потом с удивлением обнаруживают, что время прошло быстро, а финансовая подушка так и не появилась.

Именно так работает временные предпочтения.

**Вот где здесь экономика.

**😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",348,2,,https://t.me/Economic_basics/506
505,2026-06-11T08:43:51+00:00,"**Доходы населения**

Когда в новостях говорят о доходах населения, большинство людей слышат только одно слово - зарплата. Поэтому каждый раз возникает один и тот же вопрос: почему доходы растут, если мой оклад почти не изменился? 

Причина проста. Зарплата - это только часть общей картины.
**Доходы населения складываются сразу из нескольких источников. **

▪️**Первая и самая крупная группа** - трудовые доходы: зарплаты, премии и другие выплаты от работодателей. 

▪️**Вторая - социальные доходы: **пенсии, пособия, стипендии, адресная социальная помощь и другие выплаты государства. 

▪️**Третья - доходы от предпринимательства и собственного дела.** 

▪️**Четвертая - доходы от собственности:** проценты по депозитам, дивиденды по акциям, арендные платежи за жилье или коммерческую недвижимость. 

▪️Есть и **прочие поступления** - страховые выплаты, денежные переводы и другие денежные доходы. 

Именно поэтому **доходы населения показывают** не то, сколько люди зарабатывают на работе, а **сколько денег в целом поступает в распоряжение домашних хозяйств**.

Именно так работают доходы населения.
**Вот где здесь экономика.**

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",452,3,,https://t.me/Economic_basics/505
504,2026-06-10T10:56:27+00:00,"**Цены растут. Так почему говорят, что инфляция падает?**

«Инфляция замедляется».
Когда люди слышат эту новость, многие смотрят на ценники в магазине и недоумевают.

Какое еще замедление? Молоко дороже. Мясо дороже. Коммунальные услуги дороже. Почти все вокруг стоит больше, чем год назад.

На самом деле здесь есть одна важная деталь, которую часто не объясняют. **Инфляция показывает не насколько высокие цены, а насколько быстро они растут.**

Представьте, что вы едете по трассе со скоростью 120 км/ч. Потом снижаете скорость до 80 км/ч. Вы стали ехать медленнее. Но вы все еще едете вперед.
С ценами происходит точно так же.

❗️Если в прошлом году цены росли на 15% в год, а сейчас растут на 10%, это не означает, что товары подешевели. Это означает, что **они продолжают дорожать, но уже не так быстро, как раньше.**

Поэтому снижение инфляции и снижение цен - это разные вещи.

Допустим, год назад продукт стоил 1000 тенге. 
▫️Если цены выросли на 15%, он стал стоить 1150 тенге.
▫️Если в следующем году инфляция снизится до 10%, цена все равно вырастет - уже до 1265 тенге.

Цена продолжает подниматься. Просто шаг роста становится меньше.

__Именно поэтому экономисты так внимательно следят за каждым процентом инфляции.__

Согласно [новому прогнозу](https://economykz.org/?p=26599) Национального бюро экономических исследований к сентябрю инфляция может снизиться до **9,8%**, а к концу года остаться около **9,9%**.

На первый взгляд разница между 10,4% и 9,8% кажется незначительной. 
▪️Но для семейного бюджета это означает, что цены будут убегать вперед медленнее.
▪️Для бизнеса это означает более понятные расходы.
▪️Для банков - меньше рисков.
▪️Для всей экономики - больше предсказуемости.

Высокая инфляция опасна не только тем, что делает жизнь дороже. **Она создает неопределенность.** Люди начинают покупать впрок, бизнес откладывает инвестиции, а семьи все хуже понимают, сколько денег понадобится через несколько месяцев.

Когда** инфляция постепенно замедляется**, экономика начинает возвращаться к нормальному ритму. Людям становится проще планировать покупки, накопления и крупные расходы.

Конечно, никто не обещает, что цены вернутся назад. Такого обычно не происходит. Но если прогноз оправдается, рост цен станет спокойнее. А это уже хорошая новость для каждого человека, независимо от уровня дохода.

**Что это значит для вашего кошелька?**
Если инфляция действительно снизится до уровней, которые прогнозирует НацБюро, ваши расходы все равно будут расти. Но **рост цен будет съедать доходы медленнее, чем раньше**. Это повышает шансы, что зарплаты и другие доходы начнут постепенно догонять стоимость жизни.

Главная ошибка в разговорах об инфляции заключается в том, что многие путают рост цен со скоростью роста цен. Для экономики это две совершенно разные истории.

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",442,6,,https://t.me/Economic_basics/504
