id,date,text,views,forwards,media,link,text_length,emoji_count,has_hashtag,has_link,topics
9824,2026-06-25 16:09:58+00:00,"**Пенсионные изъятия: помощь гражданам или дорогой урок для рынка жилья?**
 
Изначально идея использовать пенсионные накопления на жилье выглядела как социальная мера. У людей появилась возможность направить часть своих денег на первоначальный взнос, улучшение жилищных условий или закрытие части ипотечной нагрузки. **Но у этой меры был важный побочный эффект.**

▪️Когда на рынок недвижимости одновременно **выходит большой объем дополнительных денег**, а предложение жилья не может быстро вырасти, **значительная часть такой поддержки** **превращается** не в доступность жилья, а **в рост цен**. 

То есть мера помогла части граждан, но одновременно усилила спрос и стала одним из факторов удорожания недвижимости.

▪️В итоге выиграли не все одинаково. Те, кто успел использовать накопления раньше, действительно получили возможность решить жилищный вопрос. 

Но для тех, кто не имел достаточных накоплений или не успел воспользоваться программой, рынок стал еще дороже.

▪️Теперь государство фактически пытается аккуратно исправить этот перекос. 

Возможность изымать пенсионные накопления не отменяется полностью, но пороги резко повышаются. Это снижает доступный объем изъятий и возвращает пенсионным накоплениям их базовую функцию, а именно обеспечивать доход в старости.

▪️С политической точки зрения это болезненное решение. Для многих семей новый порог будет ощущаться не как улучшение методики, а как закрытие возможности, на которую они рассчитывали. Особенно если человек уже планировал использовать накопления на ипотеку, ремонт или лечение.

Но с экономической точки зрения государство постепенно откатывает систему к более консервативной логике. 

▪️Пенсионные деньги **должны оставаться пенсионными деньгами**. Иначе сегодня они поддерживают текущий спрос, а завтра **создают проблему низких выплат для будущих пенсионеров.
**
Главный урок этой истории в том, что социальные меры на рынке жилья нужно запускать очень осторожно. Если просто добавить людям деньги на покупку недвижимости, но не увеличить предложение жилья, значительная часть эффекта уйдет в цены.

📮 __Споры вокруг новых порогов понятны. Многие помнят скандалы вокруг пенсионной системы, сравнивают доходность ЕНПФ с банковскими депозитами и считают, что квартира выглядит более надежным активом. Эти вопросы заслуживают открытого обсуждения.__

__Но одновременно важно помнить и о другой стороне. Пенсионная система создается не для того, чтобы максимизировать текущую доходность, а чтобы обеспечить человеку регулярный доход после завершения трудовой деятельности. Если значительная часть накоплений будет израсходована сегодня, завтра государство неизбежно столкнется с другой проблемой - недостаточным уровнем пенсионного обеспечения миллионов граждан.__

__Поэтому корректировка ПМД выглядит скорее попыткой найти более устойчивый баланс. Она не отменяет право использовать пенсионные накопления, а делает его более адресным, одновременно снижая давление на рынок жилья и сохраняя большую часть средств для их первоначального назначения. В долгосрочной перспективе устойчивость пенсионной системы и предсказуемость рынка недвижимости важны не меньше, чем возможность решить жилищный вопрос здесь и сейчас.__

#Финансы 

🤐 [TENGENOMIKA](https://t.me/tengenomika)",2162,3,,https://t.me/tengenomika/9824,3250,2,True,True,"['инфляция', 'депозиты', 'кредиты', 'банки', 'бюджет']"
9823,2026-06-25 14:11:05+00:00,"📈**KEGOC увеличил прибыль до 70,8 млрд тенге и продолжает масштабную модернизацию энергосистемы**

На Дне эмитента в Астане АО «KEGOC» подвело итоги 2025 года и первого квартала 2026 года, а также рассказало о ключевых инвестиционных проектах и развитии компании.

По итогам 2025 года чистая прибыль KEGOC составила 70,8 млрд тенге — это на 11,3 млрд тенге больше, чем годом ранее. Рост связан с увеличением выручки от системных услуг, которая направляется на реализацию инвестиционной программы объемом 270 млрд тенге.

📊Сейчас компания реализует два крупных проекта:

▫️усиление электросети Южной зоны Казахстана, что позволит повысить надежность энергосистемы и интегрировать больше объектов ВИЭ;
▫️объединение энергосистемы Западного Казахстана с Единой энергосистемой страны для повышения энергобезопасности и энергонезависимости региона.

Отдельно в KEGOC отметили дивидендную политику компании. По итогам 2025 года акционерам выплатили 44,6 млрд тенге, а с 2014 года общая сумма дивидендов достигла 349,8 млрд тенге. KEGOC остается одной из немногих компаний на казахстанском фондовом рынке, которая стабильно выплачивает дивиденды дважды в год.

Компания также активно внедряет искусственный интеллект. В работе уже 12 AI-проектов, включая мониторинг линий электропередачи с помощью беспилотников и создание единой платформы CORE GRID AI для управления сетевой инфраструктурой.

🔗По оценкам аналитиков, акции KEGOC сохраняют потенциал роста: целевая стоимость бумаг оценивается в диапазоне 1.778–2.431 тенге за акцию.

🤐 [TENGENOMIKA](https://t.me/tengenomika)",3851,6,,https://t.me/tengenomika/9823,1568,4,False,True,"['валюта', 'инвестиции']"
9822,2026-06-25 11:59:20+00:00,"**Модернизация инфраструктуры должна стать драйвером промышленности**

Вчера в Павлодарской области заместитель Премьер-министра **Канат Бозумбаев** провел выездное заседание Проектного офиса Национального проекта “**Модернизация энергетического и коммунального секторов**”, где мне удалось принять участие.

Помимо этого  заседания, мне удалось посетить объекты в Павлодаре, Экибастузе и Аксу, где сегодня реализуются проекты модернизации коммунальной инфраструктуры. 
В ближайшее время более подробно расскажу о ходе реализации Нацпроекта, успешных практиках и вопросах, которые требуют дополнительного внимания.

▪️Пока же хотел бы остановиться на одном принципиальном моменте. Главная цель Национального проекта заключается не только в обновлении изношенных тепловых, электрических и коммунальных сетей. Не менее **важно использовать этот масштабный объем инвестиций как инструмент развития отечественной промышленности**.

▪️Сегодня государство уже создало для этого необходимые условия. В 2026 году в жилищно-коммунальный сектор привлечено около **1,3 трлн тенге инвестиций**, из которых **767 млрд тенге** реализуются в рамках Национального проекта МЭКС. Уже начата реализация **37 пилотных проектов** общей стоимостью **164,8 млрд тенге. **Еще **242 проекта** почти на **459 млрд тенге** находятся на стадии конкурсных процедур. Финансирование обеспечивается за счет международных финансовых организаций, банков второго уровня, инструментов холдинга “Байтерек” и мер государственной поддержки.

❗️При этом ключевым фактором успеха становятся уже не столько финансовые ресурсы, сколько **качество реализации проектов**. Насколько быстро регионы проводят конкурсные процедуры, начинают строительно-монтажные работы и вовлекают отечественных производителей оборудования, материалов и технологий.

__Наиболее низкие показатели зафиксированы в городах Алматы и Шымкент, а также в Туркестанской области и области Ұлытау.__

▪️В этом отношении Павлодарская область выглядит одним из наиболее показательных примеров. Регион впервые за последние 30 лет смог остановить рост износа инженерной инфраструктуры. До 2027 года здесь предусмотрена реализация **55 проектов** общей стоимостью **131,6 млрд тенге**, а строительно-монтажные работы уже ведутся на **16 объектах**. При этом по информации акимата доля казахстанского содержания по реализуемым проектам составляет 100%.

‼️Именно в этом, на мой взгляд, заключается одна из важнейших задач Национального проекта. **Модернизация коммунальной инфраструктуры должна создавать спрос** на казахстанскую продукцию, **стимулировать расширение производств, инвестиции** в новые мощности и развитие технологических компетенций внутри страны.

По итогам заседания зампремьера Канат Бозумбаев поручил в кратчайшие сроки устранить отставания по реализации проектов и завершить все конкурсные процедуры. 
Министерству промышленности и строительства необходимо **до 1 июля** завершить работу по актуализации Реестра КТП и устранить выявленные недоработки, препятствующие полноценной работе Электронной платформы.

📮__Государство сформировало один из крупнейших источников внутреннего спроса для отечественной промышленности. Теперь задача - максимально использовать эту возможность, инвестировать в развитие производств, повышать конкурентоспособность и занимать новые рыночные ниши. Именно тогда модернизация инфраструктуры станет драйвером роста не только коммунального сектора, но и всей экономики Казахстана.

P.S. Фото с официального информационного ресурса Премьер-министра

__#Регионы__

__🤐 [TENGENOMIKA](https://t.me/tengenomika)",5257,6,,https://t.me/tengenomika/9822,3575,2,True,True,"['валюта', 'банки', 'инвестиции']"
9821,2026-06-25 06:01:01+00:00,"**Налоговая карта Казахстана: районный разрез**
** **
Обычно анализ бюджетов заканчивается на уровне областей. Но если спуститься **на уровень районов и городов**, картина становится гораздо интереснее.

▪️По состоянию на 1 мая 2026 года **налоговые поступления районов и городов** Казахстана составили **1,68 трлн тенге**, что на 11,4% больше, чем годом ранее. 

Однако главный вывод связан не с ростом. Главная особенность - **крайняя концентрация налоговой базы внутри самих регионов на районном уровне**.
 
▪️**Рейтинг: налоговые лидеры на районном уровне**

1️⃣ **Фискальные лидеры - свыше 100 млрд тенге **__(3 территории)
▫️__Атырау - 151,7 млрд
▫️Илийский район - 111,6 млрд
▫️Павлодар - 108,1 млрд
 
2️⃣ **Налоговые акселераторы - 10–100 млрд тенге **__(21 территория)__
Карагандa (78,3 млрд), Актобе (56,7 млрд), Актау (44,2 млрд), Жылыойский район (44,1 млрд), Усть-Каменогорск (41,9 млрд), Костанай (39,3 млрд), Тараз(28,2 млрд), Кокшетау (27,9 млрд), Уральск (27,4 млрд), Петропавловск (23,7 млрд), Семей (23,6 млрд), Экибастуз (19,8 млрд), Кызылорда (19,7 млрд), Жезказган (18,8 млрд), Темиртау (15,8 млрд) и др.
 
3️⃣ **Территории с ограниченной налоговой базой - 1–10 млрд тенге **__(113 территорий)__
Бурабайский район (10,0 млрд), Конаев (9,8 млрд), Жанаозен (9,8 млрд), Алтай район (9,0 млрд), Сузакский район (8,4 млрд), и еще 108 территорий.
 
4️⃣ **Территории с критически низкой налоговой базой - менее 1 млрд тенге **__(67 территорий)__
Индерский район (0,7 млрд), Приозерск (0,5 млрд), Уилский район (0,2 млрд), район Марқакөл (0,2 млрд), Жангельдинский район (0,1 млрд) и еще 62 территории. 
** **
▪️**Что показывают данные?**
▫️**Поляризация становится нормой.** Всего три территории обеспечивают более 370 млрд тенге налоговых поступлений, или свыше 22% всех районных налоговых поступлений страны. На другом полюсе находятся 67 территорий с поступлениями менее 1 млрд тенге каждая. Налоговая карта Казахстана становится все более концентрированной.
▫️**Экономическая активность сосредоточена в ограниченном числе точек**. Фискальные лидеры и налоговые акселераторы - это всего 24 территории из почти двухсот административных единиц страны.Именно они формируют основную часть налоговой базы Казахстана. Большинство остальных территорий остаются зависимыми от трансфертов и не выступают самостоятельными центрами формирования доходов.
▫️**Районный уровень показывает то, что скрывает областная статистика.** На уровне областей многие регионы выглядят относительно сбалансированными. Однако внутри регионов различия колоссальны. В ряде областей разрыв между лидером и аутсайдером достигает десятков и даже сотен раз. Фактически речь идет о существовании нескольких разных экономик внутри одного региона.
▫️**Рост обеспечивают не все территории.** Рост налоговых поступлений местных бюджетов на 11,4% формируется ограниченным кругом районов и городов. Поэтому улучшение показателей региона не всегда означает улучшение ситуации на всей его территории. В ряде случаев рост концентрируется в нескольких наиболее экономически активных районах и городах.
 
📮Из__ 204 районов и городов Казахстана лишь 24 территории обеспечивают налоговые поступления свыше 10 млрд тенге, тогда как 67 территорий не способны собрать даже 1 млрд тенге за четыре месяца. Разрыв между лидером и аутсайдером превышает 1 000 раз.

Районная статистика показывает, что главный разрыв в Казахстане проходит уже не между областями, а внутри самих регионов. За средними областными показателями скрываются территории с принципиально разным налоговым потенциалом. 

Если по итогам всего четырех месяцев треть территорий страны не смогла собрать даже 1 млрд тенге налогов, то зависимость от межбюджетных трансфертов для них носит системный характер. Поэтому ключевой задачей региональной политики становится не только выравнивание бюджетной обеспеченности, но и расширение собственной налоговой базы территорий. В противном случае число территорий-доноров будет оставаться ограниченным, а зависимость значительной части районов от трансфертов воспроизводиться из года в год.
 __
#Макро 

🤐 [TENGENOMIKA](https://t.me/tengenomika)",9199,8,,https://t.me/tengenomika/9821,4118,2,True,True,"['валюта', 'бюджет']"
9820,2026-06-25 04:29:05+00:00,"🏦**S&P Global Ratings повысило рейтинг Банку Freedom на уровень «BB-» **

Международное рейтинговое агентство S&P Global Ratings (далее - S&P) повысило АО «Фридом Банк Казахстан» (далее - Банк Freedom) кредитный рейтинг до уровня «ВВ-» c прогнозом «стабильный». По национальной шкале рейтинг Банка повышен с «kzBBB+» до «kzА-». 

Рейтинги других дочерних компаний группы Freedom, в частности АО «Фридом Финанс», Freedom Finance Europe Ltd., Freedom Finance Global PLC, также были повышены до уровня «ВВ-». Кроме того, агентство подтвердило долгосрочный кредитный рейтинг Freedom Holding Corp. на уровне «B-». 

🖊️Эксперты S&P отмечают, что повышение рейтингов отражает результаты трехлетней работы по совершенствованию системы управления рисками и комплаенса в группе Freedom. Эти функции также были усилены на уровне финансовых дочерних компаний, в число которых входит Банк Freedom. Дочерние компании приводят свои политики в соответствие с принятыми групповыми политиками управления рисками и комплаенса, которые постоянно совершенствуются.

“По нашему мнению, общая система управления рисками и комплаенса позволит группе тщательно отслеживать и контролировать риски на уровне группы, включая такие сферы, как соблюдение санкций, кибербезопасность, репутационные, регуляторные и криптовалютные риски”, ‒ отмечается в документе S&P.

«Стабильные» прогнозы по рейтингам Банка и всего холдинга отражают оценку рейтингового агентства, согласно которой Freedom располагает необходимыми возможностями для эффективного выявления, отслеживания и контроля рисков по мере дальнейшего роста бизнеса.

“Кроме того, мы полагаем, что группа Freedom продолжит развитие своих финансовых и нефинансовых подразделений, финансируемое за счет новых вливаний акционерного капитала, что не окажет существенного давления на капитализацию,” ‒ сказано в релизе S&P.

🎙️Айдос Жумагулов, член Совета директоров Банка Freedom:

«Повышение рейтинга до «ВВ-» со стабильным прогнозом со стороны S&P Global Ratings - важное подтверждение устойчивости нашего бизнеса и отличная оценка качеству корпоративного управления. Для нас это результат системной работы команды по выстраиванию эффективного риск-менеджмента и комплаенса. И, конечно, это показатель доверия со стороны глобального рынка, что дает поддержку дальнейшему росту Freedom и расширению возможностей для наших клиентов».

__Лицензия АРРФР на проведение банковских и иных операций № 1.1.108 от 25.06.2024 г.

Лицензия АРРФР на осуществление деятельности на рынке ценных бумаг № 1.2.253/45 от 12.06.2024 г.__

🤐 [TENGENOMIKA](https://t.me/tengenomika)",10152,8,,https://t.me/tengenomika/9820,2584,4,False,True,"['валюта', 'кредиты', 'банки', 'инвестиции']"
9819,2026-06-25 04:03:36+00:00,"**Утреннее чтиво**

💰 Национальная валюта укрепилась по итогам прошедших торгов (24.06.2026), завершив сессию на отметке 485,55 ₸ (-0,14%) за $, при объёме операций 413 млн USD.

🇷🇺 По отношению к российскому рублю курс сложился на уровне 6,47 ₸ (-0,47%), при этом объём торгов достиг 3 747 млн RUB.

💶 Обменный курс EUR/KZT составил 550,78 ₸ (-0,46%), а объём торгов достиг 10 333 тыс EUR.

🐉 По юаню биржевые торги закрылись на отметке 71,25 ₸ (-0,49%), с проведенным объёмом торгов 13 млн CNY.

#УтреннееЧтиво 

🤐 [TENGENOMIKA](https://t.me/tengenomika)",10584,1,,https://t.me/tengenomika/9819,556,4,True,True,['валюта']
9818,2026-06-24 06:35:35+00:00,,11402,4,,https://t.me/tengenomika/9818,0,0,False,False,['прочее']
9817,2026-06-24 06:35:35+00:00,"**Кредитование: майское ускорение пришло из бизнеса и квазигосударственногосектора**
 
На 1 июня 2026 года **кредиты экономике** в расширенном определении достигли **51,5 трлн тенге**. За май портфель вырос на 582,7 млрд тенге, или на 1,1%. 

▪️После слабой динамики февраля-апреля кредитный рынок вновь ускорился, однако источником роста стали не столько классические банковские займы, сколько сочетание корпоративного спроса и финансирования через небанковские институты.

**Банковский сектор** увеличил портфель на 376,3 млрд тенге, до **43,8 трлн тенге**. Но еще заметнее росли **кредиты других организаций** на 206,4 млрд тенге __(или на 2,7% м/м)__, до **7,7 трлн тенге**. 

Почти весь этот **прирост обеспечили субъекты квазигосударственного сектора**, чей портфель вырос на 195,3 млрд тенге __(или на 4,7% м/м)__, до **4,3 трлн тенге**. 

Это означает, что майское оживление кредитования было частично связано не с расширением обычного банковского рынка, а с активностью институтов развития и иных государственных механизмов финансирования.

▪️Главным драйвером стал **бизнес**. Его кредитный портфель вырос на 340,2 млрд тенге __(или на 1,4% м/м)__, достигнув **24,2 трлн тенге**. 

В тенге кредиты бизнесу увеличились на 219,9 млрд тенге, до 18,8 трлн тенге, но быстрее росла валютная часть на 120,3 млрд тенге __(или на 2,2% м/м)__, до 5,5 трлн тенге. 

Это может отражать как финансирование внешнеторговых контрактов, закупок оборудования и сырья, так и курсовую переоценку уже существующих валютных обязательств. Поэтому рост валютного портфеля еще не следует автоматически трактовать как всплеск новых выдач.

▪️**Кредиты населению** выросли на 242,5 млрд тенге __(или на 0,9% м/м)__, до **27,3 трлн тенге**. 

Темпы здесь остаются ниже, чем в бизнес-сегменте, что подтверждает постепенное охлаждение розничного рынка. В мае основной вклад в общий прирост кредитования вновь обеспечил бизнес около 58,5%из общего роста в 1,1%, тогда как население добавило оставшиеся 41,5%.

📮__Майская статистика показывает двойственную картину. С одной стороны, кредитование поддерживает деловую активность: бизнес получает ресурсы для оборота, инвестиций и контрактов. С другой заметная роль квазигосударственных институтов говорит о том, что частный банковский рынок по-прежнему не способен в полной мере заменить государственные источники длинных денег. В такой модели особенно сложно среднему бизнесу: крупные компании обладают доступом к валютному и институциональному финансированию, малые к программам поддержки, а средние предприятия чаще остаются один на один с дорогим рыночным кредитом.
__
#Финансы 

🤐 [TENGENOMIKA](https://t.me/tengenomika)",11195,4,,https://t.me/tengenomika/9817,2652,2,True,True,"['валюта', 'депозиты', 'кредиты', 'банки', 'инвестиции']"
9816,2026-06-24 04:49:24+00:00,"**Размышления о промышленной политике

**Мы много говорим о новых заводах. Но гораздо реже задаем себе более важный вопрос: **сколько денег остается в стране после того, как завод построен?**

Промышленная политика измеряется не количеством открытых предприятий и не объемом инвестиций. Ее настоящий результат - это созданная внутри страны добавленная стоимость, новые компетенции, технологии и производственные цепочки.

Построить завод можно за несколько лет. Построить промышленную экономику - задача на десятилетия.

В новой авторской колонке на [EconomyKZ.org](http://EconomyKZ.org/) делюсь своими размышлениями о том, что на самом деле определяет успех промышленной политики и почему этот вопрос становится все более важным для Казахстана.

**Расширяем горизонты и продолжаем разговор о будущем экономики.**
__
__https://economykz.org/?p=26835

😄 [**ЭКОНОМИЧЕСКИЙ ЛИКБЕЗ**](https://t.me/Economic_basics)

[Linkedin](https://www.linkedin.com/in/sultanov-ruslan-s?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app) | [Facebook](https://www.facebook.com/share/1AgDXo5qEU/?mibextid=wwXIfr) | [Instagram](https://www.instagram.com/rsultanov.kaz?igsh=aWdqaWh0N3J6cWl2&utm_source=qr)",10761,4,,https://t.me/tengenomika/9816,1211,1,False,True,['инвестиции']
9815,2026-06-24 04:08:54+00:00,"**Утреннее чтиво**

💰 Национальная валюта укрепилась по итогам прошедших торгов (23.06.2026), завершив сессию на отметке 486,25 ₸ (-0,07%) за $, при объёме операций 267 млн USD.

🇷🇺 По отношению к российскому рублю курс сложился на уровне 6,51 ₸ (-1,29%), при этом объём торгов достиг 4 506 млн RUB.

💶 Обменный курс EUR/KZT составил 553,30 ₸ (-0,67%), а объём торгов достиг 2 416 тыс EUR.

🐉 По юаню биржевые торги закрылись на отметке 71,60 ₸ (-0,34%), с проведенным объёмом торгов 30 млн CNY.

#УтреннееЧтиво 

🤐 [TENGENOMIKA](https://t.me/tengenomika)",11378,1,,https://t.me/tengenomika/9815,555,4,True,True,['валюта']
